10-10-0-0.afm;23;25;0;1;0;3;15
10-10-0-1.afm;25;27;0;1;0;6;17
10-10-0-2.afm;23;22;0;1;0;1;12
10-10-0-3.afm;26;27;0;1;0;5;17
10-10-0-4.afm;20;21;0;1;0;2;11
10-10-0-5.afm;24;27;0;1;0;5;17
10-10-0-6.afm;19;22;0;1;0;3;12
10-10-0-7.afm;28;29;0;1;0;3;19
10-10-0-8.afm;25;27;0;1;0;5;17
10-10-0-9.afm;26;27;0;1;0;3;17
10-10-2-0.afm;24;23;0;1;0;5;13
10-10-2-1.afm;28;27;0;1;0;4;17
10-10-2-2.afm;22;23;0;1;0;5;13
10-10-2-3.afm;29;29;0;1;0;4;19
10-10-2-4.afm;29;26;0;1;0;4;16
10-10-2-5.afm;25;26;0;1;0;7;16
10-10-2-6.afm;27;24;0;1;0;5;14
10-10-2-7.afm;29;26;0;1;0;3;16
10-10-2-8.afm;26;25;0;1;0;6;15
10-10-2-9.afm;29;26;0;1;0;5;16
10-10-5-0.afm;29;25;0;1;0;2;15
10-10-5-1.afm;26;20;0;1;0;2;10
10-10-5-2.afm;26;20;0;1;0;5;10
10-10-5-3.afm;31;27;0;1;0;5;17
10-10-5-4.afm;31;27;0;1;0;3;17
10-10-5-5.afm;27;23;0;1;0;2;13
10-10-5-6.afm;31;27;0;1;0;3;17
10-10-5-7.afm;27;26;0;1;0;5;16
10-10-5-8.afm;28;25;0;1;0;5;15
10-10-5-9.afm;33;29;0;1;0;2;19
10-15-0-0.afm;27;26;0;1;0;3;16
10-15-0-1.afm;26;27;0;1;0;3;17
10-15-0-2.afm;26;27;0;1;0;5;17
10-15-0-3.afm;23;25;0;1;0;2;15
10-15-0-4.afm;20;23;0;1;0;6;13
10-15-0-5.afm;25;28;0;1;0;5;18
10-15-0-6.afm;23;25;0;1;0;6;15
10-15-0-7.afm;23;25;0;1;0;8;15
10-15-0-8.afm;27;30;0;1;0;4;20
10-15-0-9.afm;25;27;0;1;0;5;17
10-15-2-0.afm;30;29;0;1;0;4;19
10-15-2-1.afm;27;28;0;1;0;2;18
10-15-2-2.afm;24;23;0;1;0;5;13
10-15-2-3.afm;29;29;0;1;0;5;19
10-15-2-4.afm;26;25;0;1;0;2;15
10-15-2-5.afm;26;25;0;1;0;3;15
10-15-2-6.afm;29;26;0;1;0;2;16
10-15-2-7.afm;24;23;0;1;0;3;13
10-15-2-8.afm;26;25;0;1;0;2;15
10-15-2-9.afm;30;29;0;1;0;4;19
10-15-5-0.afm;30;27;0;1;0;5;17
10-15-5-1.afm;27;23;0;1;0;5;13
10-15-5-2.afm;29;27;0;1;0;7;17
10-15-5-3.afm;30;27;0;1;0;4;17
10-15-5-4.afm;32;29;0;1;0;5;19
10-15-5-5.afm;28;26;0;1;0;5;16
10-15-5-6.afm;28;25;0;1;0;4;15
10-15-5-7.afm;30;24;0;1;0;5;14
10-15-5-8.afm;33;29;0;1;0;6;19
10-15-5-9.afm;30;28;0;1;0;7;18
10-5-0-0.afm;22;22;0;1;0;2;12
10-5-0-1.afm;22;25;0;1;0;2;15
10-5-0-2.afm;24;24;0;1;0;5;14
10-5-0-3.afm;22;25;0;1;0;3;15
